ய்2,0.4510800508,ய்2,0.4510800508,-0.3457463793
ய,1.4872749104,ய,1.4872749104,0.1723912517
ய1,1.3560008096,ய1,1.3560008096,0.1322599488
ய2,1.801557925,ய2,1.801557925,0.2556482304
யா,0.4509255666,யா,0.4509255666,-0.3458951403
யா1,0.6375227687,யா1,0.6375227687,-0.1955043001
யி,0.311783768,யி,0.311783768,-0.5061464987
யி1,0.4705525197,யி1,0.4705525197,-0.3273918967
யி2,0.2596541628,யி2,0.2596541628,-0.5856047104
யீ,0.0107797579,யீ,0.0107797579,-1.9673909928
யீ1,0.0151791135,யீ1,0.0151791135,-1.8187535916
யீ2,0.0089774046,யீ2,0.0089774046,-2.0468492013
யு,0.1296887801,யு,0.1296887801,-0.8870975949
யு1,0.315388248,யு1,0.315388248,-0.5011544934
யு2,0.1080050826,யு2,0.1080050826,-0.9665558066
யூ,0.0275298433,யூ,0.0275298433,-1.5601962606
யூ2,0.0229269101,யூ2,0.0229269101,-1.639654472
யெ,0.0432848742,யெ,0.0432848742,-1.3636638403
யெ1,0.0404776361,யெ1,0.0404776361,-1.3927848583
யே,0.024710522,யே,0.024710522,-1.6071180802
யே1,0.118059772,யே1,0.118059772,-0.9278980598
யை,0.037812074,யை,0.037812074,-1.4223695008
யை1,0.1652836808,யை1,0.1652836808,-0.7817700242
யொ,0.0104480731,யொ,0.0104480731,-1.9809637975
யொ1,0.0067462727,யொ1,0.0067462727,-2.1709361076
யோ,0.1069683672,யோ,0.1069683672,-0.9707446334
யோ1,0.1096269311,யோ1,0.1096269311,-0.9600827434
யௌ,0.0018242667,யௌ,0.0018242667,-2.7389116694
ர்,1.6058522477,ர்,1.6058522477,0.2057055839
ர்1,1.9243742832,ர்1,1.9243742832,0.2842895445
ர்2,1.3373570521,ர்2,1.3373570521,0.1262473721
ர,2.4201385779,ர,2.4201385779,0.3838402345
ர1,1.2261350604,ர1,1.2261350604,0.0885383109
ர2,2.8820230926,ர2,2.8820230926,0.4596974563
ரா,0.5124531081,ரா,0.5124531081,-0.2903458685
ரா1,0.3980300884,ரா1,0.3980300884,-0.4000840969
ரி,1.0446414653,ரி,1.0446414653,0.0189672604
ரி1,0.6763138366,ரி1,0.6763138366,-0.1698517273
ரி2,0.8699795591,ரி2,0.8699795591,-0.0604909514
ரீ,0.0673320265,ரீ,0.0673320265,-1.1717783143
ரீ1,0.0573433178,ரீ1,0.0573433178,-1.241517183
ரீ2,0.05607425,ரீ2,0.05607425,-1.2512365264
ரு,1.2950635342,ரு,1.2950635342,0.1122910749
ரு1,1.3863590366,ரு1,1.3863590366,0.1418757176
ரு2,1.0785315728,ரு2,1.0785315728,0.0328328631
ரூ,0.0417922923,ரூ,0.0417922923,-1.3789038072
ரூ2,0.0348047069,ரூ2,0.0348047069,-1.4583620192
ரெ,0.0237154675,ரெ,0.0237154675,-1.6249683097
ரெ1,0.0320447953,ரெ1,0.0320447953,-1.4942424983
ரே,0.0588740626,ரே,0.0588740626,-1.2300759947
ரே1,0.1011940903,ரே1,0.1011940903,-0.9948448494
ரை,0.3366601325,ரை,0.3366601325,-0.47280831
ரை1,0.2698509074,ரை1,0.2698509074,-0.5688761172
ரொ,0.0076287518,ரொ,0.0076287518,-2.1175465146
ரொ1,0.0219253862,ரொ1,0.0219253862,-1.6590527481
ரோ,0.0973495063,ரோ,0.0973495063,-1.0116662466
ரோ1,0.0657761587,ரோ1,0.0657761587,-1.1819314927
ரௌ,0.0038143759,ரௌ,0.0038143759,-2.4185765102
ல்,3.4598047703,ல்,3.4598047703,0.5390515931
ல்1,2.5568373474,ல்1,2.5568373474,0.4077031014
ல்2,2.8813325231,ல்2,2.8813325231,0.4595933814
ல,1.0917407153,ல,1.0917407153,0.0381195072
ல1,0.8247318357,ல1,0.8247318357,-0.0836872408
ல2,1.7986575327,ல2,1.7986575327,0.2549484808
லா,0.2910534643,லா,0.2910534643,-0.5360272271
லா1,0.4165823383,லா1,0.4165823383,-0.3802991466
லி,0.508970417,லி,0.508970417,-0.2933074595
லி1,0.4064629292,லி1,0.4064629292,-0.3909790574
லி2,0.4238716093,லி2,0.4238716093,-0.3727656713
லீ,0.015423346,லீ,0.015423346,-1.8118213985
லீ1,0.0286716589,லீ1,0.0286716589,-1.5425471787
லீ2,0.0128445942,லீ2,0.0128445942,-1.8912796119
லு,0.1625255812,லு,0.1625255812,-0.7890782722
லு1,0.335627066,லு1,0.335627066,-0.4741430236
லு2,0.135351638,லு2,0.135351638,-0.8685364841
லூ,0.0159208733,லூ,0.0159208733,-1.7980331138
லூ2,0.013258936,லூ2,0.013258936,-1.8774913257
லெ,0.0242129947,லெ,0.0242129947,-1.615951493
லெ1,0.0252985226,லெ1,0.0252985226,-1.5969048403
லே,0.0451091409,லே,0.0451091409,-1.3457354439
லே1,0.0961343858,லே1,0.0961343858,-1.017121244
லை,0.6237333784,லை,0.6237333784,-0.2050010145
லை1,0.6476421777,லை1,0.6476421777,-0.1886648756
லொ,0.0114431277,லொ,0.0114431277,-1.9414552555
லொ1,0.0118059772,லொ1,0.0118059772,-1.9278980598
லோ,0.0708147175,லோ,0.0708147175,-1.149876473
